0,0.0
2,33.3
4,29.7
6,31.1
8,40.3
10,47.0
12,42.0
14,31.7
16,51.2
18,40.7
20,34.6
22,27.9
24,28.3
26,28.9
28,29.8
30,27.3
32,42.4
34,27.2
36,27.6
38,27.3
40,29.3
42,28.3
44,30.5
46,28.3
48,28.5
50,29.3
52,29.1
54,27.0
56,27.6
58,29.0
60,28.7
62,30.5
64,60.3
66,49.8
68,51.8
70,32.4
72,27.7
74,32.3
76,28.3
78,32.0
80,30.0
82,35.7
84,32.3
86,30.4
88,31.1
90,31.9
92,35.7
94,37.1
96,32.3
98,31.6
100,40.7
102,41.1
104,35.9
106,32.7
108,30.4
110,40.2
112,47.3
114,38.4
116,60.5
118,41.1
120,39.2
122,32.6
124,30.7
126,29.3
128,43.1
130,40.7
132,37.2
134,29.8
136,28.5
138,35.7
140,35.8
142,40.9
144,35.4
146,38.8
148,39.7
150,35.0
152,50.9
154,28.8
156,42.0
158,32.2
160,55.9
162,47.6
164,81.7
166,52.5
168,68.5
170,51.9
172,68.5
174,36.1
176,29.8
178,37.7
180,37.2
182,50.4
184,39.4
186,59.5
188,86.9
190,57.3
192,73.3
194,50.5
196,64.4
198,65.1
